00:10:18.858 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Keyed Aggregation -> Sink: Print to Std. Out (6/8) (46c22ca2854c539c6c68412106b52e23) switched from CREATED to SCHEDULED.
00:10:18.858 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Keyed Aggregation -> Sink: Print to Std. Out (7/8) (28ce74856dcafc8b11c9e4c407f28332) switched from CREATED to SCHEDULED.
00:10:18.858 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph - Keyed Aggregation -> Sink: Print to Std. Out (8/8) (1ec05b80d6c21a5a88645e1a86d041ba) switched from CREATED to SCHEDULED.
00:10:18.868 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{7f144b854b9da89dc803fb8b422fd923}]
00:10:18.871 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{656c31c9066dd3c60d7baab5ea7a6052}]
00:10:18.872 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{f1b55eea0b3f56100881e7dca0fbeb75}]
00:10:18.872 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{9428ed3d2898e80902c24171343a2e37}]
00:10:18.873 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{fef84e77222d896d4ac6087ea763e725}]
00:10:18.873 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{cf66ceabca4e5cdbe07828db87ec27da}]
00:10:18.874 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{1ea490a85a99e35b5db4a5aed55f10c3}]
00:10:18.874 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{9d4ddbbe24821624edd335b410ca7339}]
00:10:18.880 [jobmanager-future-thread-1] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/jobmanager_3 , session=565e6fa2-c6dc-43c7-913c-02bf38e998ce
00:10:18.880 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.runtime.jobmaster.JobMaster - Connecting to ResourceManager akka://flink/user/rpc/resourcemanager_1(929dcbbfa306c227dc8f38a097a447d7)
00:10:18.882 [flink-akka.actor.default-dispatcher-2] INFO  o.a.f.runtime.jobmaster.JobMaster - Resolved ResourceManager address, beginning registration
00:10:18.884 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.r.StandaloneResourceManager - Registering job manager 913c02bf38e998ce565e6fa2c6dc43c7@akka://flink/user/rpc/jobmanager_3 for job 8abb9e845457693f5cc4b6881deb3b6d.
00:10:18.891 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.r.StandaloneResourceManager - Registered job manager 913c02bf38e998ce565e6fa2c6dc43c7@akka://flink/user/rpc/jobmanager_3 for job 8abb9e845457693f5cc4b6881deb3b6d.
00:10:18.894 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.runtime.jobmaster.JobMaster - JobManager successfully registered at ResourceManager, leader id: 929dcbbfa306c227dc8f38a097a447d7.
00:10:18.895 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Requesting new slot [SlotRequestId{7f144b854b9da89dc803fb8b422fd923}] and profile ResourceProfile{UNKNOWN} with allocation id 8387298d4f73891f384275886c0c93a3 from resource manager.
00:10:18.896 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.r.StandaloneResourceManager - Request slot with profile ResourceProfile{UNKNOWN} for job 8abb9e845457693f5cc4b6881deb3b6d with allocation id 8387298d4f73891f384275886c0c93a3.
00:10:18.896 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Requesting new slot [SlotRequestId{656c31c9066dd3c60d7baab5ea7a6052}] and profile ResourceProfile{UNKNOWN} with allocation id 5877e468969348d08910aadee662f30b from resource manager.
00:10:18.896 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Requesting new slot [SlotRequestId{f1b55eea0b3f56100881e7dca0fbeb75}] and profile ResourceProfile{UNKNOWN} with allocation id ff573727a0df32908a9799b4aa34d9bc from resource manager.
00:10:18.896 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Requesting new slot [SlotRequestId{9428ed3d2898e80902c24171343a2e37}] and profile ResourceProfile{UNKNOWN} with allocation id 7d9ce957817af8a4b3052ca4ad00a48c from resource manager.
00:10:18.897 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Requesting new slot [SlotRequestId{fef84e77222d896d4ac6087ea763e725}] and profile ResourceProfile{UNKNOWN} with allocation id 5b25ce6abf2a6f02d908196b6cfb59ad from resource manager.
00:10:18.897 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Requesting new slot [SlotRequestId{cf66ceabca4e5cdbe07828db87ec27da}] and profile ResourceProfile{UNKNOWN} with allocation id 2ce937bbfbb2af03c02fcc8256cd558a from resource manager.
00:10:18.897 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Requesting new slot [SlotRequestId{1ea490a85a99e35b5db4a5aed55f10c3}] and profile ResourceProfile{UNKNOWN} with allocation id 950502d3ec7d4256bfeceb0dcbac70d7 from resource manager.
00:10:18.898 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.j.slotpool.SlotPoolImpl - Requesting new slot [SlotRequestId{9d4ddbbe24821624edd335b410ca7339}] and profile ResourceProfile{UNKNOWN} with allocation id cc85c7e8384e893859fd8efc14a9f3e3 from resource manager.
00:10:18.899 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Receive slot request 8387298d4f73891f384275886c0c93a3 for job 8abb9e845457693f5cc4b6881deb3b6d from resource manager with leader id 929dcbbfa306c227dc8f38a097a447d7.
00:10:18.900 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.r.StandaloneResourceManager - Request slot with profile ResourceProfile{UNKNOWN} for job 8abb9e845457693f5cc4b6881deb3b6d with allocation id 5877e468969348d08910aadee662f30b.
00:10:18.900 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.r.StandaloneResourceManager - Request slot with profile ResourceProfile{UNKNOWN} for job 8abb9e845457693f5cc4b6881deb3b6d with allocation id ff573727a0df32908a9799b4aa34d9bc.
00:10:18.901 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.r.StandaloneResourceManager - Request slot with profile ResourceProfile{UNKNOWN} for job 8abb9e845457693f5cc4b6881deb3b6d with allocation id 7d9ce957817af8a4b3052ca4ad00a48c.
00:10:18.902 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.r.StandaloneResourceManager - Request slot with profile ResourceProfile{UNKNOWN} for job 8abb9e845457693f5cc4b6881deb3b6d with allocation id 5b25ce6abf2a6f02d908196b6cfb59ad.
00:10:18.902 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.r.StandaloneResourceManager - Request slot with profile ResourceProfile{UNKNOWN} for job 8abb9e845457693f5cc4b6881deb3b6d with allocation id 2ce937bbfbb2af03c02fcc8256cd558a.
00:10:18.903 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.r.StandaloneResourceManager - Request slot with profile ResourceProfile{UNKNOWN} for job 8abb9e845457693f5cc4b6881deb3b6d with allocation id 950502d3ec7d4256bfeceb0dcbac70d7.
00:10:18.904 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.r.StandaloneResourceManager - Request slot with profile ResourceProfile{UNKNOWN} for job 8abb9e845457693f5cc4b6881deb3b6d with allocation id cc85c7e8384e893859fd8efc14a9f3e3.
00:10:18.906 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Allocated slot for 8387298d4f73891f384275886c0c93a3.
00:10:18.908 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.t.DefaultJobLeaderService - Add job 8abb9e845457693f5cc4b6881deb3b6d for job leader monitoring.
00:10:18.910 [mini-cluster-io-thread-18] INFO  o.a.f.r.t.DefaultJobLeaderService - Try to register at job manager akka://flink/user/rpc/jobmanager_3 with leader id 565e6fa2-c6dc-43c7-913c-02bf38e998ce.
00:10:18.911 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Receive slot request 5877e468969348d08910aadee662f30b for job 8abb9e845457693f5cc4b6881deb3b6d from resource manager with leader id 929dcbbfa306c227dc8f38a097a447d7.
00:10:18.911 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Allocated slot for 5877e468969348d08910aadee662f30b.
00:10:18.911 [flink-akka.actor.default-dispatcher-2] INFO  o.a.f.r.t.DefaultJobLeaderService - Resolved JobManager address, beginning registration
00:10:18.911 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Receive slot request ff573727a0df32908a9799b4aa34d9bc for job 8abb9e845457693f5cc4b6881deb3b6d from resource manager with leader id 929dcbbfa306c227dc8f38a097a447d7.
00:10:18.912 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Allocated slot for ff573727a0df32908a9799b4aa34d9bc.
00:10:18.912 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Receive slot request 7d9ce957817af8a4b3052ca4ad00a48c for job 8abb9e845457693f5cc4b6881deb3b6d from resource manager with leader id 929dcbbfa306c227dc8f38a097a447d7.
00:10:18.912 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Allocated slot for 7d9ce957817af8a4b3052ca4ad00a48c.
00:10:18.913 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Receive slot request 5b25ce6abf2a6f02d908196b6cfb59ad for job 8abb9e845457693f5cc4b6881deb3b6d from resource manager with leader id 929dcbbfa306c227dc8f38a097a447d7.
00:10:18.913 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Allocated slot for 5b25ce6abf2a6f02d908196b6cfb59ad.
00:10:18.913 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Receive slot request 2ce937bbfbb2af03c02fcc8256cd558a for job 8abb9e845457693f5cc4b6881deb3b6d from resource manager with leader id 929dcbbfa306c227dc8f38a097a447d7.
00:10:18.913 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Allocated slot for 2ce937bbfbb2af03c02fcc8256cd558a.
00:10:18.913 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor - Receive slot request 950502d3ec7d4256bfeceb0dcbac70d7 for job 8abb9e845457693f5cc4b6881deb3b6d from resource manager with leader id 929dcbbfa306c227dc8f38a097a447d7.
